file,w,h,maxAbsR,maxAbsG,maxAbsB,maxAbsA,mae_rgb,mae_a,rmse_rgb,pctPixelsDiff,pctPixelsDiff_1e3,ssim_luma,worstX,worstY,nonFiniteLeft,nonFiniteRight
audiovis/pixels/audiovis.group.blurred_s2_t5.75_preview_con.raw,512,288,0.0065918,0.0065918,0.0065918,0.0065918,1.80662E-05,1.80662E-05,0.000237798,2.00467,0.479465,0.999986,214,224,0,0
audiovis/pixels/audiovis.group.nested-group_s0.5_t5.75_delivery_coff.raw,128,72,0.00219727,0.00195312,0.00195312,0,1.19309E-05,0,0.000101655,3.48307,0.282118,1,43,19,0,0
audiovis/pixels/audiovis.group.nested-group_s0.5_t5.75_export_coff.raw,128,72,0.00219727,0.00195312,0.00195312,0,1.19309E-05,0,0.000101655,3.48307,0.282118,1,43,19,0,0
audiovis/pixels/audiovis.group.nested-group_s0.5_t5.75_export_con.raw,128,72,0.0126953,0.012207,0.0112305,0,1.78207E-05,0,0.000241434,3.61328,0.390625,0.999999,57,35,0,0
audiovis/pixels/audiovis.group.nested-group_s0.5_t5.75_preview_coff.raw,128,72,0.00219727,0.00195312,0.00195312,0,1.19309E-05,0,0.000101655,3.48307,0.282118,1,43,19,0,0
audiovis/pixels/audiovis.group.nested-group_s0.5_t5.75_preview_con.raw,128,72,0.0126953,0.012207,0.0112305,0,1.78207E-05,0,0.000241434,3.61328,0.390625,0.999999,57,35,0,0
audiovis/pixels/audiovis.group.nested-group_s1_t5.75_delivery_coff.raw,256,144,0.00244141,0.00244141,0.00244141,0,5.74936E-06,0,7.29441E-05,2.19998,0.149197,1,77,46,0,0
audiovis/pixels/audiovis.group.nested-group_s1_t5.75_export_coff.raw,256,144,0.00244141,0.00244141,0.00244141,0,5.74936E-06,0,7.29441E-05,2.19998,0.149197,1,77,46,0,0
audiovis/pixels/audiovis.group.nested-group_s1_t5.75_export_con.raw,256,144,0.00244141,0.00244141,0.00244141,0,6.31671E-06,0,7.72676E-05,2.26237,0.173611,1,77,46,0,0
audiovis/pixels/audiovis.group.nested-group_s1_t5.75_preview_coff.raw,256,144,0.00244141,0.00244141,0.00244141,0,5.74936E-06,0,7.29441E-05,2.19998,0.149197,1,77,46,0,0
audiovis/pixels/audiovis.group.nested-group_s1_t5.75_preview_con.raw,256,144,0.00244141,0.00244141,0.00244141,0,6.31671E-06,0,7.72676E-05,2.26237,0.173611,1,77,46,0,0
audiovis/pixels/audiovis.group.nested-group_s2_t5.75_delivery_coff.raw,512,288,0.00268555,0.00268555,0.00244141,0,5.6612E-06,0,7.53911E-05,1.69135,0.178358,1,182,78,0,0
audiovis/pixels/audiovis.group.nested-group_s2_t5.75_export_coff.raw,512,288,0.00268555,0.00268555,0.00244141,0,5.6612E-06,0,7.53911E-05,1.69135,0.178358,1,182,78,0,0
audiovis/pixels/audiovis.group.nested-group_s2_t5.75_export_con.raw,512,288,0.110107,0.105225,0.0947266,0,1.31063E-05,0,0.000705567,1.70966,0.197347,0.999954,231,133,0,0
audiovis/pixels/audiovis.group.nested-group_s2_t5.75_preview_coff.raw,512,288,0.00268555,0.00268555,0.00244141,0,5.6612E-06,0,7.53911E-05,1.69135,0.178358,1,182,78,0,0
audiovis/pixels/audiovis.group.nested-group_s2_t5.75_preview_con.raw,512,288,0.110107,0.105225,0.0947266,0,1.31063E-05,0,0.000705567,1.70966,0.197347,0.999954,231,133,0,0
audiovis/pixels/audiovis.group.plain_s0.5_t5.75_export_con.raw,128,72,0.116211,0.116211,0.116211,0.116211,2.51664E-05,2.51664E-05,0.00134031,0.0868056,0.0868056,0.999996,55,52,0,0
audiovis/pixels/audiovis.group.plain_s0.5_t5.75_preview_con.raw,128,72,0.116211,0.116211,0.116211,0.116211,2.51664E-05,2.51664E-05,0.00134031,0.0868056,0.0868056,0.999996,55,52,0,0
audiovis/pixels/audiovis.group.plain_s1_t5.75_export_con.raw,256,144,0.460449,0.460449,0.460449,0.460449,3.12063E-05,3.12063E-05,0.00332409,0.0135634,0.0135634,0.999968,110,105,0,0
audiovis/pixels/audiovis.group.plain_s1_t5.75_preview_con.raw,256,144,0.460449,0.460449,0.460449,0.460449,3.12063E-05,3.12063E-05,0.00332409,0.0135634,0.0135634,0.999968,110,105,0,0
audiovis/pixels/audiovis.group.plain_s2_t5.75_export_con.raw,512,288,0.539062,0.539062,0.539062,0.539062,2.67327E-05,2.67327E-05,0.0034015,0.00813802,0.00813802,0.999973,223,211,0,0
audiovis/pixels/audiovis.group.plain_s2_t5.75_preview_con.raw,512,288,0.539062,0.539062,0.539062,0.539062,2.67327E-05,2.67327E-05,0.0034015,0.00813802,0.00813802,0.999973,223,211,0,0
audiovis/pixels/audiovis.layer.three-stacked_s0.5_t5.75_export_con.raw,128,72,0.130615,0.130615,0.130615,0.130615,4.11405E-05,4.11405E-05,0.00228265,0.0325521,0.0325521,0.99995,52,59,0,0
audiovis/pixels/audiovis.layer.three-stacked_s0.5_t5.75_preview_con.raw,128,72,0.130615,0.130615,0.130615,0.130615,4.11405E-05,4.11405E-05,0.00228265,0.0325521,0.0325521,0.99995,52,59,0,0
audiovis/pixels/audiovis.layer.three-stacked_s1_t5.75_export_con.raw,256,144,0.351562,0.351562,0.351562,0.351562,3.72264E-05,3.72264E-05,0.00293136,0.0189887,0.0189887,0.999702,106,120,0,0
audiovis/pixels/audiovis.layer.three-stacked_s1_t5.75_preview_con.raw,256,144,0.351562,0.351562,0.351562,0.351562,3.72264E-05,3.72264E-05,0.00293136,0.0189887,0.0189887,0.999702,106,120,0,0
audiovis/pixels/audiovis.layer.three-stacked_s2_t5.75_export_con.raw,512,288,0.551758,0.551758,0.551758,0.551758,4.12017E-05,4.12017E-05,0.00365371,0.0278049,0.0278049,0.999788,211,240,0,0
audiovis/pixels/audiovis.layer.three-stacked_s2_t5.75_preview_con.raw,512,288,0.551758,0.551758,0.551758,0.551758,4.12017E-05,4.12017E-05,0.00365371,0.0278049,0.0278049,0.999788,211,240,0,0
audiovis/pixels/audiovis.source.shared-three-views_s0.5_t5.75_export_con.raw,128,72,0.050293,0.050293,0.050293,0.050293,8.2122E-06,8.2122E-06,0.00055854,0.0325521,0.0325521,0.999999,53,71,0,0
audiovis/pixels/audiovis.source.shared-three-views_s0.5_t5.75_preview_con.raw,128,72,0.050293,0.050293,0.050293,0.050293,8.2122E-06,8.2122E-06,0.00055854,0.0325521,0.0325521,0.999999,53,71,0,0
audiovis/pixels/audiovis.source.shared-three-views_s1_t5.75_export_con.raw,256,144,0.359375,0.359375,0.359375,0.359375,2.74181E-05,2.74181E-05,0.0027905,0.0135634,0.0135634,0.999971,106,142,0,0
audiovis/pixels/audiovis.source.shared-three-views_s1_t5.75_preview_con.raw,256,144,0.359375,0.359375,0.359375,0.359375,2.74181E-05,2.74181E-05,0.0027905,0.0135634,0.0135634,0.999971,106,142,0,0
audiovis/pixels/audiovis.source.shared-three-views_s2_t5.75_export_con.raw,512,288,0.655762,0.655762,0.655762,0.655762,2.08418E-05,2.08418E-05,0.00327285,0.00542535,0.00542535,0.999974,212,285,0,0
audiovis/pixels/audiovis.source.shared-three-views_s2_t5.75_preview_con.raw,512,288,0.655762,0.655762,0.655762,0.655762,2.08418E-05,2.08418E-05,0.00327285,0.00542535,0.00542535,0.999974,212,285,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s0.5_t5.75_export_con.raw,128,72,0.171875,0.171875,0.171875,0.171875,0.000110861,0.000110861,0.0030931,0.217014,0.217014,0.999943,39,64,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s0.5_t5.75_preview_con.raw,128,72,0.171875,0.171875,0.171875,0.171875,0.000110861,0.000110861,0.0030931,0.217014,0.217014,0.999943,39,64,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s1_t5.75_export_con.raw,256,144,0.711426,0.711426,0.711426,0.711426,0.000116514,0.000116514,0.00722943,0.0434028,0.0434028,0.999747,77,130,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s1_t5.75_preview_con.raw,256,144,0.711426,0.711426,0.711426,0.711426,0.000116514,0.000116514,0.00722943,0.0434028,0.0434028,0.999747,77,130,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s2_t5.75_export_con.raw,512,288,0.994141,0.994141,0.994141,0.994141,9.98742E-05,9.98742E-05,0.00844658,0.0203451,0.0203451,0.999824,155,261,0,0
audiovis/pixels/audiovis.source.sound-speed-200_s2_t5.75_preview_con.raw,512,288,0.994141,0.994141,0.994141,0.994141,9.98742E-05,9.98742E-05,0.00844658,0.0203451,0.0203451,0.999824,155,261,0,0
